序号,图片编号,书名,作者/译者,出版社/出品方,类别,丛书/版本,语种,定价,状态,备注
16,DSCN8998,Python基础教程（第2版·修订版）,[挪] Magnus Lie Hetland 著，司维 等 译,人民邮电出版社,计算机,图灵程序设计丛书 · 第2版修订版,中,,在售,
17,DSCN8999,Rust实战：从入门到精通,[意] 卡洛·米拉内西 著，卢涛、李颖 译,机械工业出版社,计算机,Apress · 华章科技,中,,在售,
18,DSCN9000,计算机应用基础教程,刘志敏 主编,清华大学出版社,计算机,教育部大学计算机课程改革项目规划教材,中,,在售,
19,DSCN9001,流体力学（上册）,吴望一 编著,北京大学出版社,物理,高等学校教材 · 国家教委首届优秀教材二等奖,中,,在售,
20,DSCN9002,少年维特之烦恼,[德] 歌德 著，关惠文 译,北京联合出版公司,文学,世界文学名著,中,,在售,
21,DSCN9003,力学（第四版）下册·理论力学,梁昆淼 原著，鞠国兴、施毅 修订,高等教育出版社,物理,十一五国家级规划教材 · 第4版,中,,在售,
22,DSCN9004,数学分析习题课讲义（第2版）（下册）,谢惠民、恽自求、易法槐、钱定边 编,高等教育出版社,数学,第2版 · 下册,中,,在售,
23,DSCN9005,电子技术基础（第二版）,王志军 主编,北京大学出版社,电子·工程,电子信息科学基础课程丛书 · 第2版,中,,在售,
24,DSCN9006,统计学习方法（第2版）,李航 著,清华大学出版社,计算机,第2版,中,,在售,封面上贴有前人标签贴纸
25,DSCN9007,GRE 核心词汇 助记与精练（第2版）,陈琦 主编，陈琦、王正宇、戈弋 编著,浙江教育出版社,留学·语言,再要你命 3K · 第2版,中,,在售,
26,DSCN9008,Merriam-Webster's Vocabulary Builder,Merriam-Webster,Merriam-Webster,留学·语言,"New Edition, Completely Revised · 英文原版",英,,在售,
27,DSCN9009,A Game of Thrones,George R. R. Martin,Bantam Books,文学,A Song of Ice and Fire #1 · 英文原版,英,,在售,HBO 剧集纪念封面
28,DSCN9010,Jane Eyre,Charlotte Brontë,Bantam Classics,文学,英文原版 · Joyce Carol Oates 导读,英,,在售,
29,DSCN9011,人生的智慧,[德] 叔本华 著,上海人民出版社,人文社科,叔本华系列,中,,在售,⚠️ 无封皮（护封已丢），书体为素色精装；译者待补充
30,DSCN9012,如何成为一个学习忍者 How to Be a Knowledge Ninja,[英] 格雷厄姆·奥尔科特 著，陈立东 译,机械工业出版社,人文社科,学习方法,中,,在售,
31,DSCN9013,半生缘,张爱玲 著,北京十月文艺出版社,文学,张爱玲经典,中,,在售,
32,DSCN9014,丧钟为谁而鸣 For Whom the Bell Tolls,[美] 海明威 著，程中瑞 译,上海译文出版社,文学,译文名著精选,中,,在售,
33,DSCN9015,大语言模型应用指南：以ChatGPT为起点，从入门到精通的AI实践教程,万俊 著,电子工业出版社,计算机,Broadview,中,,在售,
34,DSCN9016,Python 学习手册（第四版）,Mark Lutz 著，秦鹤、林明 译,机械工业出版社 / O'Reilly,计算机,Learning Python · 第4版（覆盖 Python 2 和 3）,中,,在售,封面右下有折角
35,DSCN9017,Python Cookbook（第2版）中文版,Alex Martelli、Anna Martelli Ravenscroft、David Ascher 编，高铁军 译,人民邮电出版社 / O'Reilly,计算机,第2版中文版,中,,在售,
36,DSCN9018,力学（第五版）· 理论物理学教程 第一卷,Л.Д. 朗道、Е.М. 栗弗席兹 著，李俊峰、鞠国兴 译校,高等教育出版社,物理,朗道理论物理学教程 · 第5版 · 精装,中,,在售,精装
37,DSCN9019,认知疗法：基础与应用（第二版）,[美] Judith S. Beck 著，张怡 等 译,中国轻工业出版社,人文社科,第2版 · 心理咨询与治疗,中,,在售,
38,DSCN9020,博弈论与信息经济学,张维迎 著,格致出版社 · 上海三联书店 · 上海人民出版社,人文社科,当代经济学系列丛书 · 国家十三五重点图书,中,,在售,
39,DSCN9021,热力学·统计物理（第六版）,汪志诚,高等教育出版社,物理,十二五国家级规划教材 · 第6版,中,,在售,
40,DSCN9022,新日语能力考试 N2 词汇（修订版）· 无敌绿宝书,李晓东 主编，[日] 寺田昌代 审订,世界图书出版公司,留学·语言,修订版,中/日,,在售,
41,DSCN9023,字节跳动 云原生微服务架构原理与开源实践,字节跳动基础架构服务框架团队,CloudWeGo 技术白皮书 / InfoQ 极客传媒,讲义·白皮书,CloudWeGo 技术白皮书,中,,在售,非正式出版物
42,DSCN9024,鲁迅：呐喊·彷徨·故事新编,鲁迅 著,二十一世纪出版社集团,文学,中国现代文学经典名著,中,,在售,
43,DSCN9025,量子物理（第二版）· 新概念物理教程,赵凯华、罗蔚茵,高等教育出版社,物理,新概念物理教程 · 第2版,中,,在售,
44,DSCN9026,GRE 强化填空 36 套精练与精析,陈琦 主编，戈弋、陈琦 编著,浙江教育出版社,留学·语言,再要你命 3K 系列,中,,在售,
45,DSCN9027,GRE 语文高频题目精练与精析,陈琦 主编,浙江教育出版社,留学·语言,再要你命 3K 系列,中,,在售,
46,DSCN9028,十天突破新托福 ESSAYS,慎小嶷 编著,机械工业出版社,留学·语言,出国考试类,中,,在售,
47,DSCN9029,工程中的有限元方法（英文版·原书第4版）Introduction to Finite Elements in Engineering,T. R. Chandrupatla、A. D. Belegundu 著,机械工业出版社 / Pearson,电子·工程,时代教育·国外高校优秀教材精选 · 第4版,英,,在售,
48,DSCN9030,经典力学 Classical Mechanics (Third Edition),Herbert Goldstein、Charles Poole、John Safko,高等教育出版社,物理,影印版 · 海外优秀理科类系列教材 · 第3版,英,,在售,影印版
49,DSCN9031,人性的枷锁 Of Human Bondage,[英] 毛姆 著，张乐 译,陕西师范大学出版总社,文学,外国文学名著,中,,在售,
50,DSCN9032,概率论基础教程（英文版·第9版）A First Course in Probability,[美] 谢尔登 M. 罗斯 著,机械工业出版社 / Pearson,数学,华章数学原版精品系列 · 第9版,英,,在售,
51,DSCN9033,机器学习,周志华 著,清华大学出版社,计算机,西瓜书,中,,在售,
52,DSCN9034,2009 中国可持续发展战略报告 —— 探索中国特色的低碳道路,中国科学院可持续发展战略研究组,科学出版社,人文社科,年度战略报告,中,,在售,
53,DSCN9035,论党的青年工作,习近平,人民出版社,政治读物,—,中,,在售,⚠️ 建议自留，不建议上架出售
54,DSCN9036,电路分析原理（第3版）Principle of Circuit Analysis,胡薇薇 编著,清华大学出版社 / 北京大学出版社,电子·工程,北京大学电子信息科学系列教材 · 第3版,中,,在售,
55,DSCN9037,精英的傲慢：好的社会该如何定义成功？The Tyranny of Merit,[美] 迈克尔·桑德尔 著,中信出版集团,人文社科,—,中,,在售,
56,DSCN9038,毛泽东选集（第一至四卷）,毛泽东,人民出版社,政治读物,全四卷,中,,在售,⚠️ 建议自留，不建议上架出售
